Species,above.median_total,ED.med,EDGE.med,TBL.med,TBL%,RL.cat
EUR4&Erica_maderensis,100,10.5439,9.8898,10.0860,95.7%,CR
EUR1&Erica_spiculifolia,100,24.0947,5.2325,23.8520,99.0%,
EUR2&Erica_sicula_ssp._bocquetii,100,21.3982,5.1615,17.1120,80.0%,
EUR5&Erica_australis,100,17.6798,4.8616,17.6798,100.0%,
EUR2&Erica_sicula_ssp._sicula,100,21.7980,4.4735,17.1120,78.5%,
EUR3&Erica_umbellata,100,15.8209,3.4070,15.4362,97.6%,
EUR1&Erica_carnea,100,11.7892,2.7542,9.8654,83.7%,
EUR1&Erica_ciliaris,100,14.7178,2.6840,14.6815,99.8%,
EUR1&Erica_erigena,100,10.8225,2.6388,9.8462,91.0%,
EUR1&Erica_terminalis,100,9.9058,2.5128,8.6242,87.1%,
EUR1&Erica_multiflora,100,8.1951,2.1022,7.6223,93.0%,
EUR1&Erica_tetralix,100,9.9433,1.7605,9.9058,99.6%,
EUR1&Erica_numidica,100,6.1181,1.3575,4.6816,76.5%,
TEA&Erica_hillburttii,99,1.4121,1.2389,1.1702,82.9%,CR
EUR4&Erica_cinerea,100,17.4671,1.0176,10.0860,57.7%,LC
EUR1&Erica_manipuliflora,100,3.9974,0.9240,3.9458,98.7%,
KIN&Erica_kingaensis_ssp._bequaertii,97,2.7247,0.7081,1.8967,69.6%,
EUR1&Erica_andevalensis,100,5.2413,0.6479,4.8961,93.4%,NT
TEA&Erica_caffrorum_var._luxurians,98,2.4957,0.6172,1.8676,74.8%,
EUR1&Erica_platycodon_ssp._platycodon,98,2.3410,0.6104,1.5741,67.2%,
TRIM&Erica_trimera_ssp._meruensis,99,2.3811,0.6100,1.9316,81.1%,
KIN&Erica_kingaensis_ssp._kingaensis,95,2.7433,0.6032,2.0653,75.3%,
TRIM&Erica_trimera_ssp._keniensis,100,2.6154,0.5944,2.2616,86.5%,
KIN&Erica_kingaensis_ssp._rugegensis,94,2.6577,0.5940,2.1101,79.4%,
TRIM&Erica_trimera_ssp._kilimanjarica,99,2.3724,0.5911,1.6678,70.3%,
TRIM&Erica_trimera_ssp._abyssinica,98,2.4190,0.5707,1.7166,71.0%,
TRIM&Erica_trimera_ssp._trimera,100,2.3415,0.5696,2.0926,89.4%,
EUR1&Erica_scoparia,100,2.0276,0.5475,1.6054,79.2%,
EUR1&Erica_platycodon_ssp._maderincola,98,2.5841,0.5337,1.9248,74.5%,
TEA&Erica_drakensbergensis,96,1.8822,0.5262,1.3220,70.2%,
CAPE&Erica_sagittata,100,1.0621,0.5252,0.9217,86.8%,EN
TEA&Erica_caffrorum_var._caffrorum,97,2.7462,0.4863,1.8676,68.0%,
EUR1&Erica_azorica,98,2.0295,0.4502,1.5852,78.1%,
TEA&Erica_mauritiensis,98,1.9370,0.4382,1.8783,97.0%,
TRIM&Erica_trimera_ssp._elgonensis,96,2.1595,0.4377,1.8427,85.3%,
TEA&Erica_thomensis,98,0.4975,0.4214,0.3944,79.3%,CR
TEA&Erica_whyteana,95,1.9573,0.3727,1.7905,91.5%,
CAPE&Erica_platycalyx,100,0.7239,0.3693,0.7209,99.6%,EN
CAPE&Erica_pauciovulata,100,1.5021,0.3584,1.3918,92.7%,VU
ARB&Erica_lusitanica,99,6.6227,0.3291,6.4956,98.1%,LC
CAPE&Erica_vlokii,100,1.3418,0.3085,1.2818,95.5%,VU
ARB&Erica_arborea,100,6.9639,0.3071,6.8937,99.0%,LC
EUR1&Erica_mackayana,99,5.6729,0.2690,4.9078,86.5%,LC
TEA&Erica_rakotozafyana,94,1.1708,0.2620,1.1087,94.7%,
CAPE&Erica_cabernetea,99,0.2715,0.2536,0.1320,48.6%,CR
EUR1&Erica_vagans,99,4.6077,0.2489,4.1479,90.0%,LC
CAPE&Erica_hermani,100,0.5207,0.2429,0.5088,97.7%,EN
TEA&Erica_microdonta,95,1.3526,0.2370,1.2561,92.9%,
CAPE&Erica_juniperina,97,0.4950,0.2220,0.4901,99.0%,EN
TEA&Erica_galioides,95,1.0123,0.2097,0.7480,73.9%,
TEA&Erica_swaziensis,90,0.9038,0.2091,0.8315,92.0%,
CAPE&Erica_extrusa,100,0.2396,0.2034,0.1284,53.6%,CR
TEA&Erica_bojeri,94,1.0944,0.1950,0.8172,74.7%,
TEA&Erica_mannii_ssp._usambarensis,93,0.6995,0.1909,0.4954,70.8%,
TEA&Erica_natalensis,92,0.2104,0.1881,0.1724,81.9%,CR
CAPE&Erica_oligantha,100,0.3145,0.1584,0.2872,91.3%,EN
TEA&Erica_evansii,90,0.6587,0.1562,0.6308,95.8%,
CAPE&Erica_turgida,97,0.1680,0.1488,0.1640,97.6%,CR
TEA&Erica_mannii_ssp._mannii,92,0.6479,0.1447,0.4487,69.2%,
CAPE&Erica_ustulescens,99,0.1621,0.1437,0.1504,92.8%,CR
TEA&Erica_psittacina,95,0.2651,0.1354,0.2091,78.9%,EN
CAPE&Erica_stylaris,99,0.5635,0.1346,0.5507,97.7%,VU
TEA&Erica_mannii_ssp._pallidiflora,90,0.6475,0.1326,0.4634,71.6%,
CAPE&Erica_sociorum,98,0.1417,0.1240,0.1339,94.5%,CR
CAPE&Erica_jasminiflora,100,0.1349,0.1240,0.1349,100.0%,CR
CAPE&Erica_karwyderi,97,0.1244,0.1226,0.1172,94.2%,CR
TEA&Erica_madagascariensis,90,0.4706,0.1194,0.3635,77.2%,
TEA&Erica_nyassana,90,0.2481,0.1136,0.2235,90.1%,EN
CAPE&Erica_aneimena,98,0.4616,0.1121,0.4415,95.7%,VU
CAPE&Erica_zebrensis,99,0.2545,0.1102,0.2360,92.7%,EN
CAPE&Erica_gracilipes,98,0.1185,0.1064,0.1182,99.7%,CR
CAPE&Erica_zeyheriana,98,0.4618,0.1056,0.4579,99.2%,VU
TEA&Erica_humbertii,93,0.3629,0.1036,0.2742,75.6%,
CAPE&Erica_orientalis,96,0.2856,0.1024,0.2723,95.3%,
CAPE&Erica_pyramidalis_var._vernalis,83,0.1018,0.1018,0.0496,48.7%,EX
CAPE&Erica_pyramidalis_var._pyramidalis,83,0.1018,0.1018,0.0496,48.7%,EX
CAPE&Erica_onusta,84,0.1050,0.1011,0.1031,98.2%,CR
CAPE&Erica_perplexa,98,0.1079,0.0984,0.1079,100.0%,CR
CAPE&Erica_gibbosa,95,0.4205,0.0981,0.4139,98.4%,
CAPE&Erica_rhodopis,91,0.1161,0.0975,0.1148,98.9%,CR
CAPE&Erica_ribisaria,94,0.1021,0.0917,0.0945,92.5%,CR
CAPE&Erica_alexandri_ssp._acockii,99,0.0885,0.0885,0.0336,37.9%,EX
CAPE&Erica_alexandri_ssp._alexandri,99,0.0952,0.0885,0.0336,35.3%,CR
TEA&Erica_subverticillaris,94,0.3498,0.0882,0.3354,95.9%,VU
TEA&Erica_cryptoclada,89,0.3316,0.0849,0.3190,96.2%,
CAPE&Erica_bolusiae_var._cyathiformis,97,0.0858,0.0832,0.0325,37.9%,CR
CAPE&Erica_brachysepala,97,0.1683,0.0809,0.1641,97.5%,EN
CAPE&Erica_albescens_var._erecta,90,0.2895,0.0795,0.2653,91.6%,
CAPE&Erica_bolusiae_var._bolusiae,96,0.0888,0.0795,0.0325,36.6%,CR
CAPE&Erica_modesta,95,0.1446,0.0792,0.1366,94.5%,EN
TEA&Erica_simii,90,1.6360,0.0768,1.5933,97.4%,LC
TEA&Erica_trichoclada,84,0.4086,0.0764,0.3142,76.9%,
CAPE&Erica_xeranthemifolia,82,0.0869,0.0729,0.0785,90.4%,CR
CAPE&Erica_condensata_var._quadrifida,89,0.2102,0.0728,0.1982,94.3%,
CAPE&Erica_tetrathecoides,98,0.3047,0.0716,0.2899,95.1%,VU
TEA&Erica_leucoclada,83,0.3117,0.0712,0.2460,78.9%,
CAPE&Erica_garciae,98,0.2728,0.0711,0.2587,94.9%,VU
TEA&Erica_aspalathifolia_var._bachmannii,86,0.2297,0.0707,0.2192,95.4%,
CAPE&Erica_alfredii,99,0.2807,0.0705,0.2712,96.6%,VU
CAPE&Erica_salicina,92,0.0845,0.0703,0.0826,97.7%,CR
CAPE&Erica_hansfordii,96,0.0781,0.0690,0.0767,98.2%,CR
CAPE&Erica_kraussiana,81,0.0709,0.0689,0.0604,85.3%,CR
CAPE&Erica_petrusiana,83,0.0752,0.0681,0.0678,90.2%,CR
TEA&Erica_minutifolia,84,0.1790,0.0671,0.1543,86.2%,
CAPE&Erica_feminarum,81,0.0661,0.0656,0.0634,95.9%,CR
TEA&Erica_austroverna,78,0.2213,0.0634,0.1923,86.9%,
CAPE&Erica_margaritacea,85,0.0684,0.0623,0.0502,73.4%,CR
CAPE&Erica_berzelioides,87,0.0784,0.0622,0.0743,94.8%,CR
TEA&Erica_rossii,84,0.4091,0.0597,0.3578,87.4%,
TEA&Erica_alopecurus_var._alopecurus,85,0.2462,0.0594,0.2363,96.0%,
CAPE&Erica_velatiflora,86,0.2675,0.0594,0.2332,87.2%,VU
CAPE&Erica_burchelliana,81,0.0596,0.0571,0.0535,89.6%,CR
CAPE&Erica_occulta,94,0.2342,0.0570,0.2333,99.6%,VU
TEA&Erica_macrocalyx,76,0.1586,0.0570,0.1364,86.0%,
TEA&Erica_densata,82,0.3156,0.0557,0.2810,89.0%,
CAPE&Erica_humansdorpensis,84,0.0621,0.0553,0.0518,83.4%,CR
TEA&Erica_mafiensis,82,0.2415,0.0548,0.2151,89.1%,VU
TEA&Erica_spinifera,86,0.2551,0.0545,0.2295,89.9%,
CAPE&Erica_vallis_aranearum,93,0.0575,0.0531,0.0551,95.8%,CR
CAPE&Erica_verticillata,95,0.0591,0.0530,0.0504,85.2%,CR
CAPE&Erica_nabea,97,1.0915,0.0528,1.0622,97.3%,LC
TEA&Erica_danguyana,74,0.1750,0.0523,0.1683,96.2%,
CAPE&Erica_nervata,94,1.0417,0.0516,1.0220,98.1%,LC
TEA&Erica_milanjiana,85,0.3102,0.0511,0.2781,89.7%,
CAPE&Erica_banksia_ssp._comptonii,97,0.1017,0.0506,0.0911,89.5%,EN
CAPE&Erica_calcicola,96,0.0981,0.0501,0.0979,99.8%,EN
CAPE&Erica_multiflexuosa,95,0.2133,0.0500,0.1925,90.3%,VU
CAPE&Erica_trichostigma,85,0.0585,0.0497,0.0558,95.3%,CR
TEA&Erica_sylvainiana,81,0.1585,0.0480,0.1228,77.5%,
TEA&Erica_lasiocarpa,80,0.2079,0.0478,0.1835,88.2%,
CAPE&Erica_heliophila,81,0.1887,0.0478,0.1787,94.7%,
CAPE&Erica_umbratica,87,1.0546,0.0478,1.0104,95.8%,LC
TEA&Erica_marojejyensis,81,0.2115,0.0478,0.1760,83.2%,
TEA&Erica_andringitrensis,81,0.1883,0.0477,0.1773,94.1%,
TEA&Erica_benguelensis_var._benguelensis,88,0.2596,0.0476,0.2353,90.6%,
TEA&Erica_brachyphylla,76,0.1319,0.0474,0.1058,80.2%,
CAPE&Erica_physantha,93,0.0499,0.0467,0.0499,100.0%,CR
TEA&Erica_ibityensis,78,0.2019,0.0464,0.1640,81.2%,
CAPE&Erica_foliacea_ssp._fulgens,79,0.0460,0.0460,0.0284,61.7%,EX
TEA&Erica_barnettiana,82,0.1974,0.0458,0.1852,93.8%,
TEA&Erica_silvatica,82,0.2056,0.0457,0.1269,61.7%,
TEA&Erica_holtii,86,1.2016,0.0457,0.8567,71.3%,LC
TEA&Erica_aestiva_var._aestiva,80,0.1840,0.0448,0.1408,76.5%,
CAPE&Erica_jonasiana,91,1.0189,0.0447,1.0189,100.0%,LC
TEA&Erica_armandiana,74,0.2207,0.0445,0.1923,87.1%,
CAPE&Erica_irregularis,91,0.0929,0.0443,0.0887,95.4%,EN
CAPE&Erica_simulans_var._tetragona,86,0.1612,0.0443,0.1592,98.8%,
TEA&Erica_jumellei,76,0.2082,0.0442,0.1999,96.0%,
TEA&Erica_woodii_ssp._woodii,83,0.1567,0.0432,0.1085,69.2%,
TEA&Erica_aestiva_var._minor,78,0.1788,0.0432,0.1408,78.8%,
TEA&Erica_algida,85,0.2056,0.0429,0.1761,85.7%,
TEA&Erica_betsileana,77,0.2118,0.0426,0.1619,76.4%,
TEA&Erica_wangfatiana,83,0.1537,0.0422,0.1472,95.8%,
CAPE&Erica_ixanthera,80,0.0806,0.0422,0.0776,96.3%,EN
CAPE&Erica_elsieana,79,0.0775,0.0415,0.0698,90.1%,EN
CAPE&Erica_capitata,92,0.3413,0.0413,0.3163,92.7%,NT
CAPE&Erica_patens,94,0.0928,0.0410,0.0901,97.1%,EN
CAPE&Erica_pulvinata,88,0.0475,0.0409,0.0475,100.0%,CR
TEA&Erica_woodii_ssp._platyura,81,0.1745,0.0406,0.1215,69.6%,
TEA&Erica_filago,85,0.1749,0.0405,0.1159,66.2%,
CAPE&Erica_gossypioides,85,0.0854,0.0393,0.0769,90.0%,EN
CAPE&Erica_chamissonis_var._hirtifolia,94,0.2112,0.0391,0.2100,99.5%,
CAPE&Erica_filiformis_var._filiformis,97,0.1723,0.0388,0.1215,70.5%,VU
TEA&Erica_perhispida,79,0.2040,0.0388,0.1768,86.7%,
CAPE&Erica_agglutinans,86,0.0861,0.0385,0.0861,100.0%,EN
CAPE&Erica_fascicularis_var._imperialis,82,0.1252,0.0384,0.1203,96.1%,
CAPE&Erica_utriculosa,88,1.0841,0.0366,1.0841,100.0%,LC
CAPE&Erica_turneri,92,0.1534,0.0365,0.1303,84.9%,VU
TEA&Erica_woodii_var._robusta,79,0.1521,0.0359,0.1027,67.5%,
TEA&Erica_arborescens,80,0.1491,0.0355,0.1060,71.1%,
CAPE&Erica_equisetifolia,86,0.8973,0.0351,0.8396,93.6%,LC
CAPE&Erica_diotiflora,73,0.0655,0.0348,0.0573,87.6%,EN
CAPE&Erica_tristis,83,0.8594,0.0344,0.8418,98.0%,LC
CAPE&Erica_remota,87,0.0355,0.0342,0.0342,96.2%,CR
CAPE&Erica_pillansii_ssp._pillansii,87,0.0708,0.0339,0.0573,80.9%,EN
CAPE&Erica_esterhuyseniae,89,0.6062,0.0338,0.5413,89.3%,LC
CAPE&Erica_paucifolia_ssp._ciliata,84,0.0640,0.0338,0.0342,53.4%,EN
CAPE&Erica_schumannii,77,0.0673,0.0337,0.0631,93.7%,EN
TEA&Erica_manifesta_var._manifesta,75,0.1440,0.0335,0.0977,67.8%,
CAPE&Erica_filiformis_var._longibracteata,85,0.1486,0.0333,0.1199,80.7%,
CAPE&Erica_situshiemalis,92,0.0699,0.0331,0.0666,95.3%,EN
CAPE&Erica_paucifolia_ssp._paucifolia,84,0.0609,0.0329,0.0289,47.5%,EN
TEA&Erica_parkeri,79,0.1279,0.0326,0.1129,88.3%,
CAPE&Erica_miniscula,75,0.1466,0.0325,0.1353,92.2%,
CAPE&Erica_uysii,87,0.1353,0.0319,0.1317,97.3%,VU
TEA&Erica_boutonii,82,0.1489,0.0319,0.1183,79.5%,
TEA&Erica_goudotiana,78,0.1262,0.0318,0.1020,80.8%,
CAPE&Erica_patersonia,78,0.0638,0.0318,0.0574,89.9%,EN
CAPE&Erica_phacelanthera,83,0.7029,0.0313,0.6914,98.4%,LC
CAPE&Erica_paucifolia_ssp._squarrosa,82,0.0614,0.0312,0.0298,48.6%,EN
TEA&Erica_lecomtei_ssp._ravinakely,76,0.1282,0.0312,0.0838,65.4%,
CAPE&Erica_aspalathoides,81,0.1315,0.0312,0.0944,71.8%,VU
TEA&Erica_reunionensis,80,0.1614,0.0311,0.1589,98.5%,
CAPE&Erica_rubiginosa_var._caespitosa,86,0.1396,0.0311,0.1314,94.1%,
CAPE&Erica_chionodes,89,0.6312,0.0311,0.5532,87.7%,LC
CAPE&Erica_montis_hominis,93,0.1219,0.0310,0.1212,99.5%,VU
CAPE&Erica_coarctata_var._longipes,74,0.1004,0.0310,0.0959,95.5%,
CAPE&Erica_glandulosa_ssp._breviflora,86,0.0667,0.0308,0.0616,92.3%,EN
CAPE&Erica_brachialis,91,0.1244,0.0307,0.1218,98.0%,VU
TEA&Erica_quadratiflora,76,0.1958,0.0306,0.1565,79.9%,
CAPE&Erica_dysantha,82,0.0556,0.0304,0.0556,100.0%,EN
CAPE&Erica_lerouxiae,71,0.0625,0.0304,0.0586,93.7%,EN
CAPE&Erica_galpinii,80,0.0633,0.0303,0.0631,99.7%,EN
CAPE&Erica_foliacea_ssp._foliacea,71,0.0692,0.0301,0.0284,41.1%,EN
TEA&Erica_perrieri,74,0.1515,0.0301,0.1425,94.0%,
CAPE&Erica_nutans,86,0.5739,0.0300,0.5649,98.4%,LC
CAPE&Erica_cunoniensis,76,0.0664,0.0300,0.0628,94.6%,EN
CAPE&Erica_galgebergensis,76,0.1201,0.0299,0.1082,90.1%,VU
TEA&Erica_bosseri,74,0.1983,0.0296,0.1778,89.7%,
CAPE&Erica_insignis,87,0.6616,0.0292,0.6323,95.6%,LC
CAPE&Erica_orthiocola,76,0.0595,0.0291,0.0503,84.5%,EN
CAPE&Erica_lehmannii,87,0.5746,0.0282,0.5505,95.8%,LC
TEA&Erica_maesta_var._longistyla,69,0.0918,0.0281,0.0704,76.7%,
CAPE&Erica_passerina,85,0.6021,0.0279,0.5726,95.1%,LC
CAPE&Erica_propendens,84,0.0343,0.0277,0.0341,99.4%,CR
CAPE&Erica_passerinoides,76,0.0512,0.0275,0.0487,95.2%,EN
TEA&Erica_hexandra,80,0.8941,0.0275,0.7661,85.7%,LC
CAPE&Erica_opulenta,85,0.5479,0.0273,0.5478,100.0%,LC
CAPE&Erica_beatricis,78,0.1021,0.0272,0.0906,88.7%,
TEA&Erica_austronyassana,75,0.1960,0.0269,0.1700,86.7%,
CAPE&Erica_clavisepala,88,0.6238,0.0269,0.6238,100.0%,LC
TEA&Erica_abbottii,83,0.1244,0.0268,0.1178,94.7%,VU
TEA&Erica_lyallii,74,0.1514,0.0266,0.1257,83.0%,
CAPE&Erica_subimbricata,73,0.1201,0.0266,0.1046,87.1%,
CAPE&Erica_dolfiana,85,0.5419,0.0263,0.5115,94.4%,LC
TEA&Erica_comorensis_ssp._anjurensis,72,0.1313,0.0255,0.0868,66.1%,
CAPE&Erica_longimontana,84,0.5243,0.0254,0.4867,92.8%,LC
CAPE&Erica_filiformis_var._maritima,80,0.1480,0.0252,0.1077,72.7%,
CAPE&Erica_parilis_var._parviflora,74,0.1066,0.0252,0.1007,94.5%,
TEA&Erica_viguieri,82,0.1921,0.0251,0.1626,84.7%,
CAPE&Erica_nubigena,82,0.6262,0.0250,0.5564,88.9%,LC
CAPE&Erica_fairii,83,0.1104,0.0248,0.1004,91.0%,VU
CAPE&Erica_rhodantha,70,0.0788,0.0247,0.0764,96.9%,
CAPE&Erica_inordinata,80,0.5683,0.0247,0.5485,96.5%,LC
TEA&Erica_thodei,70,0.0855,0.0247,0.0692,80.9%,
CAPE&Erica_lignosa,82,0.5630,0.0247,0.5192,92.2%,LC
CAPE&Erica_niveniana,80,0.1201,0.0247,0.1027,85.6%,VU
CAPE&Erica_petiolaris,86,0.5397,0.0245,0.5254,97.3%,LC
CAPE&Erica_adunca,78,0.1100,0.0245,0.1027,93.3%,
CAPE&Erica_lageniformis,74,0.0507,0.0244,0.0490,96.6%,EN
TEA&Erica_reenensis,64,0.1208,0.0244,0.1051,87.0%,
TEA&Erica_rivularis,85,0.0514,0.0242,0.0479,93.2%,EN
CAPE&Erica_oxyandra,69,0.1039,0.0242,0.0991,95.4%,
CAPE&Erica_cryptanthera,69,0.1005,0.0238,0.0870,86.6%,
TEA&Erica_manifesta_var._campanulata,75,0.1421,0.0238,0.0977,68.8%,
CAPE&Erica_flaccida,67,0.0823,0.0234,0.0791,96.1%,
CAPE&Erica_hippurus,73,0.0495,0.0233,0.0373,75.4%,EN
CAPE&Erica_thamnoides,79,0.5574,0.0232,0.5113,91.7%,LC
CAPE&Erica_cerinthoides_var._cerinthoides,75,0.0791,0.0232,0.0587,74.1%,
CAPE&Erica_pubescens_var._glabrifolia,76,0.0787,0.0231,0.0757,96.2%,
CAPE&Erica_viridiflora_ssp._redacta,80,0.0448,0.0231,0.0441,98.6%,EN
TEA&Erica_isaloensis,78,0.1311,0.0230,0.1162,88.6%,
CAPE&Erica_umbonata,64,0.0707,0.0229,0.0602,85.2%,
TEA&Erica_lecomtei_ssp._lecomtei,76,0.1378,0.0229,0.0838,60.8%,
CAPE&Erica_melanacme,79,0.0465,0.0228,0.0441,94.9%,EN
CAPE&Erica_hameriana,64,0.0776,0.0227,0.0704,90.7%,
CAPE&Erica_keetii,72,0.0755,0.0226,0.0744,98.6%,
CAPE&Erica_podophylla,73,0.4849,0.0225,0.4686,96.6%,LC
CAPE&Erica_nigrimontana,62,0.0802,0.0222,0.0713,89.0%,
CAPE&Erica_crucistigmatica,73,0.1009,0.0222,0.0894,88.6%,
CAPE&Erica_tragomontana,76,0.0893,0.0221,0.0837,93.7%,VU
TEA&Erica_dominans,72,0.0918,0.0217,0.0787,85.7%,
TEA&Erica_comorensis_ssp._comorensis,71,0.1442,0.0215,0.0868,60.2%,
CAPE&Erica_uberiflora,77,0.4879,0.0215,0.4879,100.0%,LC
CAPE&Erica_serrata,83,0.4963,0.0213,0.4793,96.6%,LC
CAPE&Erica_viscosissima,61,0.0768,0.0213,0.0662,86.3%,VU
CAPE&Erica_pillansii_ssp._fervida,80,0.0898,0.0213,0.0573,63.8%,VU
CAPE&Erica_urceolata,83,0.4707,0.0212,0.4600,97.7%,LC
TEA&Erica_imerinensis,71,0.1605,0.0211,0.1434,89.3%,
